System Time: 2025-03-04 00:22:25,678 - Event: Machine 2 initialized with clock rate: 1 ticks/second
System Time: 2025-03-04 00:22:26,686 - Event: Machine 2 accepted connection from Machine 1
System Time: 2025-03-04 00:22:27,691 - Event: Machine 2 established connection with Machine 3
System Time: 2025-03-04 00:22:27,691 - Event: Machine 2 SENT message to machines [1, 3] - Logical Clock: 1
System Time: 2025-03-04 00:22:28,723 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 2 | Local Clock: 1, Sender Clock: 6, New Clock: 7 (Drift: 5)
System Time: 2025-03-04 00:22:29,755 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 2 | Local Clock: 7, Sender Clock: 7, New Clock: 8 (Drift: 0)
System Time: 2025-03-04 00:22:30,786 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 2 | Local Clock: 8, Sender Clock: 12, New Clock: 13 (Drift: 4)
System Time: 2025-03-04 00:22:31,814 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 3 | Local Clock: 13, Sender Clock: 9, New Clock: 14 (Drift: 0)
System Time: 2025-03-04 00:22:32,839 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 7 | Local Clock: 14, Sender Clock: 19, New Clock: 20 (Drift: 5)
System Time: 2025-03-04 00:22:33,878 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 7 | Local Clock: 20, Sender Clock: 25, New Clock: 26 (Drift: 5)
System Time: 2025-03-04 00:22:34,907 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 9 | Local Clock: 26, Sender Clock: 27, New Clock: 28 (Drift: 1)
System Time: 2025-03-04 00:22:35,950 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 11 | Local Clock: 28, Sender Clock: 27, New Clock: 29 (Drift: 0)
System Time: 2025-03-04 00:22:36,981 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 10 | Local Clock: 29, Sender Clock: 29, New Clock: 30 (Drift: 0)
System Time: 2025-03-04 00:22:38,014 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 10 | Local Clock: 30, Sender Clock: 33, New Clock: 34 (Drift: 3)
System Time: 2025-03-04 00:22:39,047 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 10 | Local Clock: 34, Sender Clock: 35, New Clock: 36 (Drift: 1)
System Time: 2025-03-04 00:22:40,082 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 11 | Local Clock: 36, Sender Clock: 36, New Clock: 37 (Drift: 0)
System Time: 2025-03-04 00:22:41,117 - Event: Machine 2 RECEIVED message from Machine 3| Queue Length: 11 | Local Clock: 37, Sender Clock: 39, New Clock: 40 (Drift: 2)
System Time: 2025-03-04 00:22:42,145 - Event: Machine 2 RECEIVED message from Machine 1| Queue Length: 11 | Local Clock: 40, Sender Clock: 42, New Clock: 43 (Drift: 2)
