System Time: 2025-03-03 19:25:58,846 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 1
System Time: 2025-03-03 19:25:59,050 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 2
System Time: 2025-03-03 19:25:59,256 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 3
System Time: 2025-03-03 19:25:59,461 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 4
System Time: 2025-03-03 19:25:59,665 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 5
System Time: 2025-03-03 19:25:59,870 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 6
System Time: 2025-03-03 19:26:00,075 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 7
System Time: 2025-03-03 19:26:00,281 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 8
System Time: 2025-03-03 19:26:00,486 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 9
System Time: 2025-03-03 19:26:00,691 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 10
System Time: 2025-03-03 19:26:00,897 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 11
System Time: 2025-03-03 19:26:01,097 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 12
System Time: 2025-03-03 19:26:01,303 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 13
System Time: 2025-03-03 19:26:01,506 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 14
System Time: 2025-03-03 19:26:01,711 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 15
System Time: 2025-03-03 19:26:01,914 - Event: Machine 3 SENT message to machines [2, 3] - Logical Clock: 16
System Time: 2025-03-03 19:26:02,119 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 17
System Time: 2025-03-03 19:26:02,324 - Event: Machine 3 SENT message to machines [2] - Logical Clock: 18
System Time: 2025-03-03 19:26:02,530 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 19
System Time: 2025-03-03 19:26:02,735 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 20
System Time: 2025-03-03 19:26:02,937 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 21
System Time: 2025-03-03 19:26:03,142 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 22
System Time: 2025-03-03 19:26:03,347 - Event: Machine 3 SENT message to machines [2, 3] - Logical Clock: 23
System Time: 2025-03-03 19:26:03,549 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 24
System Time: 2025-03-03 19:26:03,755 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 25
System Time: 2025-03-03 19:26:03,959 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 26
System Time: 2025-03-03 19:26:04,163 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 27
System Time: 2025-03-03 19:26:04,365 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 28
System Time: 2025-03-03 19:26:04,570 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 29
System Time: 2025-03-03 19:26:04,775 - Event: Machine 3 SENT message to machines [2, 3] - Logical Clock: 30
System Time: 2025-03-03 19:26:04,977 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 31
System Time: 2025-03-03 19:26:05,181 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 32
System Time: 2025-03-03 19:26:05,385 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 33
System Time: 2025-03-03 19:26:05,586 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 34
System Time: 2025-03-03 19:26:05,789 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 35
System Time: 2025-03-03 19:26:05,991 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 36
System Time: 2025-03-03 19:26:06,193 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 37
System Time: 2025-03-03 19:26:06,394 - Event: Machine 3 SENT message to machines [2] - Logical Clock: 38
System Time: 2025-03-03 19:26:06,596 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 39
System Time: 2025-03-03 19:26:06,802 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 40
System Time: 2025-03-03 19:26:07,007 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 41
System Time: 2025-03-03 19:26:07,211 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 42
System Time: 2025-03-03 19:26:07,416 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 43
System Time: 2025-03-03 19:26:07,618 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 44
System Time: 2025-03-03 19:26:07,818 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 45
System Time: 2025-03-03 19:26:08,019 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 46
System Time: 2025-03-03 19:26:08,223 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 47
System Time: 2025-03-03 19:26:08,424 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 48
System Time: 2025-03-03 19:26:08,625 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 49
System Time: 2025-03-03 19:26:08,830 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 50
System Time: 2025-03-03 19:26:09,032 - Event: Machine 3 SENT message to machines [2] - Logical Clock: 51
System Time: 2025-03-03 19:26:09,238 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 52
System Time: 2025-03-03 19:26:09,443 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 53
System Time: 2025-03-03 19:26:09,648 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 54
System Time: 2025-03-03 19:26:09,855 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 55
System Time: 2025-03-03 19:26:10,060 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 56
System Time: 2025-03-03 19:26:10,263 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 57
System Time: 2025-03-03 19:26:10,466 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 58
System Time: 2025-03-03 19:26:10,670 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 59
System Time: 2025-03-03 19:26:10,873 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 60
System Time: 2025-03-03 19:26:11,074 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 61
System Time: 2025-03-03 19:26:11,280 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 62
System Time: 2025-03-03 19:26:11,481 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 63
System Time: 2025-03-03 19:26:11,687 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 64
System Time: 2025-03-03 19:26:11,888 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 65
System Time: 2025-03-03 19:26:12,089 - Event: Machine 3 RECEIVED message - Queue Length: 1 - Logical Clock: 66
System Time: 2025-03-03 19:26:12,294 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 67
System Time: 2025-03-03 19:26:12,497 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 68
System Time: 2025-03-03 19:26:12,702 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 69
System Time: 2025-03-03 19:26:12,906 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 70
System Time: 2025-03-03 19:26:13,108 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 71
System Time: 2025-03-03 19:26:13,313 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 72
System Time: 2025-03-03 19:26:13,515 - Event: Machine 3 SENT message to machines [2, 3] - Logical Clock: 73
System Time: 2025-03-03 19:26:13,719 - Event: Machine 3 SENT message to machines [2, 3] - Logical Clock: 74
System Time: 2025-03-03 19:26:13,922 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 75
System Time: 2025-03-03 19:26:14,126 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 76
System Time: 2025-03-03 19:26:14,331 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 77
System Time: 2025-03-03 19:26:14,536 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 78
System Time: 2025-03-03 19:26:14,738 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 79
System Time: 2025-03-03 19:26:14,944 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 80
System Time: 2025-03-03 19:26:15,148 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 81
System Time: 2025-03-03 19:26:15,352 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 82
System Time: 2025-03-03 19:26:15,553 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 83
System Time: 2025-03-03 19:26:15,754 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 84
System Time: 2025-03-03 19:26:15,956 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 85
System Time: 2025-03-03 19:26:16,156 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 86
System Time: 2025-03-03 19:26:16,358 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 87
System Time: 2025-03-03 19:26:16,562 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 88
System Time: 2025-03-03 19:26:16,763 - Event: Machine 3 SENT message to machines [2] - Logical Clock: 89
System Time: 2025-03-03 19:26:16,966 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 90
System Time: 2025-03-03 19:26:17,168 - Event: Machine 3 SENT message to machines [2, 3] - Logical Clock: 91
System Time: 2025-03-03 19:26:17,370 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 92
System Time: 2025-03-03 19:26:17,573 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 93
System Time: 2025-03-03 19:26:17,779 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 94
System Time: 2025-03-03 19:26:17,982 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 95
System Time: 2025-03-03 19:26:18,182 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 96
System Time: 2025-03-03 19:26:18,386 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 97
System Time: 2025-03-03 19:26:18,592 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 98
System Time: 2025-03-03 19:26:18,796 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 99
System Time: 2025-03-03 19:26:18,999 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 100
System Time: 2025-03-03 19:26:19,204 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 101
System Time: 2025-03-03 19:26:19,409 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 102
System Time: 2025-03-03 19:26:19,613 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 103
System Time: 2025-03-03 19:26:19,816 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 104
System Time: 2025-03-03 19:26:20,021 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 105
System Time: 2025-03-03 19:26:20,226 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 106
System Time: 2025-03-03 19:26:20,431 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 107
System Time: 2025-03-03 19:26:20,632 - Event: Machine 3 RECEIVED message - Queue Length: 1 - Logical Clock: 108
System Time: 2025-03-03 19:26:20,837 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 109
System Time: 2025-03-03 19:26:21,042 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 110
System Time: 2025-03-03 19:26:21,247 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 111
System Time: 2025-03-03 19:26:21,452 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 112
System Time: 2025-03-03 19:26:21,654 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 113
System Time: 2025-03-03 19:26:21,859 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 114
System Time: 2025-03-03 19:26:22,063 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 115
System Time: 2025-03-03 19:26:22,265 - Event: Machine 3 SENT message to machines [2] - Logical Clock: 116
System Time: 2025-03-03 19:26:22,470 - Event: Machine 3 SENT message to machines [2] - Logical Clock: 117
System Time: 2025-03-03 19:26:22,676 - Event: Machine 3 RECEIVED message - Queue Length: 1 - Logical Clock: 118
System Time: 2025-03-03 19:26:22,881 - Event: Machine 3 RECEIVED message - Queue Length: 1 - Logical Clock: 119
System Time: 2025-03-03 19:26:23,086 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 120
System Time: 2025-03-03 19:26:23,287 - Event: Machine 3 SENT message to machines [2, 3] - Logical Clock: 121
System Time: 2025-03-03 19:26:23,491 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 122
System Time: 2025-03-03 19:26:23,693 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 123
System Time: 2025-03-03 19:26:23,896 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 124
System Time: 2025-03-03 19:26:24,102 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 125
System Time: 2025-03-03 19:26:24,303 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 126
System Time: 2025-03-03 19:26:24,506 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 127
System Time: 2025-03-03 19:26:24,712 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 128
System Time: 2025-03-03 19:26:24,917 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 129
System Time: 2025-03-03 19:26:25,123 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 130
System Time: 2025-03-03 19:26:25,326 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 131
System Time: 2025-03-03 19:26:25,532 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 132
System Time: 2025-03-03 19:26:25,737 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 133
System Time: 2025-03-03 19:26:25,943 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 134
System Time: 2025-03-03 19:26:26,144 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 135
System Time: 2025-03-03 19:26:26,346 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 136
System Time: 2025-03-03 19:26:26,551 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 137
System Time: 2025-03-03 19:26:26,757 - Event: Machine 3 SENT message to machines [2] - Logical Clock: 138
System Time: 2025-03-03 19:26:26,962 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 139
System Time: 2025-03-03 19:26:27,165 - Event: Machine 3 SENT message to machines [2, 3] - Logical Clock: 140
System Time: 2025-03-03 19:26:27,369 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 141
System Time: 2025-03-03 19:26:27,575 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 142
System Time: 2025-03-03 19:26:27,778 - Event: Machine 3 SENT message to machines [2, 3] - Logical Clock: 143
System Time: 2025-03-03 19:26:27,981 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 144
System Time: 2025-03-03 19:26:28,181 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 145
System Time: 2025-03-03 19:26:28,382 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 146
System Time: 2025-03-03 19:26:28,586 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 147
System Time: 2025-03-03 19:26:28,789 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 148
System Time: 2025-03-03 19:26:28,994 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 149
System Time: 2025-03-03 19:26:29,198 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 150
System Time: 2025-03-03 19:26:29,403 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 151
System Time: 2025-03-03 19:26:29,604 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 152
System Time: 2025-03-03 19:26:29,808 - Event: Machine 3 SENT message to machines [3] - Logical Clock: 153
System Time: 2025-03-03 19:26:30,013 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 154
System Time: 2025-03-03 19:26:30,218 - Event: Machine 3 SENT message to machines [2] - Logical Clock: 155
System Time: 2025-03-03 19:26:30,425 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 156
System Time: 2025-03-03 19:26:30,631 - Event: Machine 3 RECEIVED message - Queue Length: 0 - Logical Clock: 157
System Time: 2025-03-03 19:26:30,833 - Event: Machine 3 INTERNAL EVENT - Logical Clock: 158
